match_id,competition_id,season_id,match_date,split,fold
7525,43,3,2018-06-14,development,0
7529,43,3,2018-06-16,development,4
7530,43,3,2018-06-16,development,0
7531,43,3,2018-06-16,development,1
7532,43,3,2018-06-16,development,2
7533,43,3,2018-06-17,development,3
7534,43,3,2018-06-17,development,4
7535,43,3,2018-06-17,development,0
7536,43,3,2018-06-18,development,1
7537,43,3,2018-06-18,development,2
7538,43,3,2018-06-18,development,3
7539,43,3,2018-06-19,development,4
7540,43,3,2018-06-19,development,0
7541,43,3,2018-06-19,development,1
7542,43,3,2018-06-20,development,2
7543,43,3,2018-06-20,development,3
7544,43,3,2018-06-20,development,4
7545,43,3,2018-06-21,development,0
7546,43,3,2018-06-21,development,1
7547,43,3,2018-06-21,development,2
7548,43,3,2018-06-22,development,3
7549,43,3,2018-06-22,development,4
7550,43,3,2018-06-22,development,0
7551,43,3,2018-06-23,development,1
7552,43,3,2018-06-23,development,2
7553,43,3,2018-06-23,development,3
7554,43,3,2018-06-24,development,4
7555,43,3,2018-06-24,development,0
7556,43,3,2018-06-24,development,1
7557,43,3,2018-06-25,development,2
7558,43,3,2018-06-25,development,3
7559,43,3,2018-06-25,development,4
7560,43,3,2018-06-25,development,0
7561,43,3,2018-06-26,development,1
7562,43,3,2018-06-26,development,2
7563,43,3,2018-06-26,development,3
7564,43,3,2018-06-26,development,4
7565,43,3,2018-06-27,development,0
7566,43,3,2018-06-27,development,1
7567,43,3,2018-06-27,development,2
7568,43,3,2018-06-27,development,3
7569,43,3,2018-06-28,development,4
7570,43,3,2018-06-28,development,0
7571,43,3,2018-06-28,development,1
7572,43,3,2018-06-28,development,2
7576,43,3,2018-06-15,development,1
7577,43,3,2018-06-15,development,2
7578,43,3,2018-06-15,development,3
7579,43,3,2018-06-30,development,3
7580,43,3,2018-06-30,development,4
7581,43,3,2018-07-01,development,0
7582,43,3,2018-07-01,development,1
7583,43,3,2018-07-02,development,2
7584,43,3,2018-07-02,development,3
7585,43,3,2018-07-03,development,4
7586,43,3,2018-07-03,development,0
8649,43,3,2018-07-06,development,1
8650,43,3,2018-07-06,development,2
8651,43,3,2018-07-07,development,3
8652,43,3,2018-07-07,development,4
8655,43,3,2018-07-10,development,0
8656,43,3,2018-07-11,development,1
8657,43,3,2018-07-14,development,2
8658,43,3,2018-07-15,development,3
3788741,55,43,2021-06-11,development,4
3788742,55,43,2021-06-12,development,0
3788743,55,43,2021-06-12,development,1
3788744,55,43,2021-06-12,development,2
3788745,55,43,2021-06-13,development,3
3788746,55,43,2021-06-13,development,4
3788747,55,43,2021-06-13,development,0
3788748,55,43,2021-06-14,development,1
3788749,55,43,2021-06-14,development,2
3788750,55,43,2021-06-14,development,3
3788751,55,43,2021-06-15,development,4
3788752,55,43,2021-06-15,development,0
3788753,55,43,2021-06-16,development,1
3788754,55,43,2021-06-16,development,2
3788755,55,43,2021-06-16,development,3
3788756,55,43,2021-06-17,development,4
3788757,55,43,2021-06-17,development,0
3788758,55,43,2021-06-17,development,1
3788759,55,43,2021-06-18,development,2
3788760,55,43,2021-06-18,development,3
3788761,55,43,2021-06-18,development,4
3788762,55,43,2021-06-19,development,0
3788763,55,43,2021-06-19,development,1
3788764,55,43,2021-06-19,development,2
3788765,55,43,2021-06-20,development,3
3788766,55,43,2021-06-20,development,4
3788767,55,43,2021-06-21,development,0
3788768,55,43,2021-06-21,development,1
3788769,55,43,2021-06-21,development,2
3788770,55,43,2021-06-21,development,3
3788771,55,43,2021-06-22,development,4
3788772,55,43,2021-06-22,development,0
3788773,55,43,2021-06-23,development,1
3788774,55,43,2021-06-23,development,2
3788775,55,43,2021-06-23,development,3
3788776,55,43,2021-06-23,development,4
3794685,55,43,2021-06-26,development,0
3794686,55,43,2021-06-28,development,4
3794687,55,43,2021-06-27,development,2
3794688,55,43,2021-06-29,development,1
3794689,55,43,2021-06-26,development,1
3794690,55,43,2021-06-27,development,3
3794691,55,43,2021-06-28,development,0
3794692,55,43,2021-06-29,development,2
3795107,55,43,2021-07-02,development,3
3795108,55,43,2021-07-02,development,4
3795109,55,43,2021-07-03,development,0
3795187,55,43,2021-07-03,development,1
3795220,55,43,2021-07-06,development,2
3795221,55,43,2021-07-07,development,3
3795506,55,43,2021-07-11,development,4
3857254,43,106,2022-11-22,calibration,
3857255,43,106,2022-12-01,calibration,
3857256,43,106,2022-12-02,calibration,
3857257,43,106,2022-11-30,calibration,
3857258,43,106,2022-11-24,calibration,
3857259,43,106,2022-11-28,calibration,
3857260,43,106,2022-11-30,calibration,
3857261,43,106,2022-11-29,calibration,
3857262,43,106,2022-12-02,calibration,
3857263,43,106,2022-11-27,calibration,
3857264,43,106,2022-11-30,calibration,
3857265,43,106,2022-11-22,calibration,
3857266,43,106,2022-11-26,calibration,
3857267,43,106,2022-11-29,calibration,
3857268,43,106,2022-11-23,calibration,
3857269,43,106,2022-11-28,calibration,
3857270,43,106,2022-11-28,calibration,
3857271,43,106,2022-11-21,calibration,
3857272,43,106,2022-11-25,calibration,
3857273,43,106,2022-11-25,calibration,
